years,ssp119,ssp126,ssp585
1750.0,8576.756731043779,8576.756731043779,8576.756731043779
1751.0,8576.756731043797,8576.756731043797,8576.756731043797
1752.0,8580.117529135905,8580.117529135905,8580.117529135905
1753.0,8580.117529135907,8580.117529135907,8580.117529135907
1754.0,8583.478327228022,8583.478327228022,8583.478327228022
1755.0,8586.839125320104,8586.839125320104,8586.839125320104
1756.0,9178.33958953001,9178.33958953001,9178.33958953001
1757.0,9181.700387622122,9181.700387622122,9181.700387622122
1758.0,9185.061185714238,9185.061185714238,9185.061185714238
1759.0,9188.421983806322,9188.421983806322,9188.421983806322
1760.0,9188.421983806315,9188.421983806315,9188.421983806315
1761.0,10065.590285844908,10065.590285844908,10065.590285844908
1762.0,10068.95108393699,10068.95108393699,10068.95108393699
1763.0,10072.311882029095,10072.311882029095,10072.311882029095
1764.0,10075.672680121199,10075.672680121199,10075.672680121199
1765.0,10079.033478213294,10079.033478213294,10079.033478213294
1766.0,11245.23041617263,11245.23041617263,11245.23041617263
1767.0,11248.591214264734,11248.591214264734,11248.591214264734
1768.0,11251.952012356825,11251.952012356825,11251.952012356825
1769.0,11255.312810448933,11255.312810448933,11255.312810448933
1770.0,11258.673608541041,11258.673608541041,11258.673608541041
1771.0,12485.364912158191,12485.364912158191,12485.364912158191
1772.0,12488.72571025028,12488.72571025028,12488.72571025028
1773.0,12492.086508342407,12492.086508342407,12492.086508342407
1774.0,12495.4473064345,12495.4473064345,12495.4473064345
1775.0,12498.808104526603,12498.808104526603,12498.808104526603
1776.0,13792.715369985788,13792.715369985788,13792.715369985788
1777.0,13796.076168077887,13796.076168077887,13796.076168077887
1778.0,13799.436966169993,13799.436966169993,13799.436966169993
1779.0,13802.797764262092,13802.797764262092,13802.797764262092
1780.0,13809.519360446287,13809.519360446287,13809.519360446287
1781.0,15449.588829391963,15449.588829391963,15449.588829391963
1782.0,15452.949627484071,15452.949627484071,15452.949627484071
1783.0,15459.671223668292,15459.671223668292,15459.671223668292
1784.0,15463.032021760395,15463.032021760395,15463.032021760395
1785.0,15474.747609952316,15474.747609952316,15474.747609952316
1786.0,17568.524821331768,17568.524821331768,17568.524821331768
1787.0,17575.246417515926,17575.246417515926,17575.246417515926
1788.0,17578.607215608034,17578.607215608034,17578.607215608034
1789.0,17585.328811792257,17585.328811792257,17585.328811792257
1790.0,17592.050407976436,17592.050407976436,17592.050407976436
1791.0,19648.85884034275,19648.85884034275,19648.85884034275
1792.0,20111.447881080487,20111.447881080487,20111.447881080487
1793.0,20128.85387049643,20128.85387049643,20128.85387049643
1794.0,20096.600024482766,20096.600024482766,20096.600024482766
1795.0,20106.883085077556,20106.883085077556,20106.883085077556
1796.0,21082.969725338306,21082.969725338306,21082.969725338306
1797.0,22132.341395347954,22132.341395347954,22132.341395347954
1798.0,23051.243938721032,23051.243938721032,23051.243938721032
1799.0,24277.38377270472,24277.38377270472,24277.38377270472
1800.0,25821.70309535349,25821.70309535349,25821.70309535349
1801.0,25909.001834287148,25909.001834287148,25909.001834287148
1802.0,36295.55978556781,36295.55978556781,36295.55978556781
1803.0,29289.425324163094,29289.425324163094,29289.425324163094
1804.0,31776.390739097034,31776.390739097034,31776.390739097034
1805.0,31084.335954751994,31084.335954751994,31084.335954751994
1806.0,32656.826650519244,32656.826650519244,32656.826650519244
1807.0,33803.76935389927,33803.76935389927,33803.76935389927
1808.0,32775.43368129409,32775.43368129409,32775.43368129409
1809.0,32799.06288745025,32799.06288745025,32799.06288745025
1810.0,34894.25741102151,34894.25741102151,34894.25741102151
1811.0,36968.011254261,36968.011254261,36968.011254261
1812.0,38263.737405302876,38263.737405302876,38263.737405302876
1813.0,38473.858588805524,38473.858588805524,38473.858588805524
1814.0,39367.956864548796,39367.956864548796,39367.956864548796
1815.0,40592.193543474204,40592.193543474204,40592.193543474204
1816.0,44146.40761309639,44146.40761309639,44146.40761309639
1817.0,45233.27613612279,45233.27613612279,45233.27613612279
1818.0,45473.63760632236,45473.63760632236,45473.63760632236
1819.0,46053.22316829255,46053.22316829255,46053.22316829255
1820.0,46788.17288024762,46788.17288024762,46788.17288024762
1821.0,47499.0923179283,47499.0923179283,47499.0923179283
1822.0,49397.986809709364,49397.986809709364,49397.986809709364
1823.0,52169.01452792829,52169.01452792829,52169.01452792829
1824.0,54623.220376699865,54623.220376699865,54623.220376699865
1825.0,56059.03127998575,56059.03127998575,56059.03127998575
1826.0,56800.91093680784,56800.91093680784,56800.91093680784
1827.0,60822.32400830588,60822.32400830588,60822.32400830588
1828.0,61489.66161087209,61489.66161087209,61489.66161087209
1829.0,61933.509494528334,61933.509494528334,61933.509494528334
1830.0,84242.08706250784,84242.08706250784,84242.08706250784
1831.0,79434.38459485778,79434.38459485778,79434.38459485778
1832.0,80882.1118498879,80882.1118498879,80882.1118498879
1833.0,82423.64570140842,82423.64570140842,82423.64570140842
1834.0,83995.68085513322,83995.68085513322,83995.68085513322
1835.0,85876.03520511487,85876.03520511487,85876.03520511487
1836.0,99813.30094212096,99813.30094212096,99813.30094212096
1837.0,100086.72714505735,100086.72714505735,100086.72714505735
1838.0,103508.52892222982,103508.52892222982,103508.52892222982
1839.0,107508.74042839448,107508.74042839448,107508.74042839448
1840.0,113992.21612069687,113992.21612069687,113992.21612069687
1841.0,117681.6674595832,117681.6674595832,117681.6674595832
1842.0,123967.00418785648,123967.00418785648,123967.00418785648
1843.0,127513.95764708112,127513.95764708112,127513.95764708112
1844.0,136133.28681546162,136133.28681546162,136133.28681546162
1845.0,148822.55240537907,148822.55240537907,148822.55240537907
1846.0,152412.23272208602,152412.23272208602,152412.23272208602
1847.0,166269.03620196396,166269.03620196396,166269.03620196396
1848.0,168618.87404062142,168618.87404062142,168618.87404062142
1849.0,177470.05828804892,177470.05828804892,177470.05828804892
1850.0,190248.42611631716,190248.42611631716,190248.42611631716
1851.0,193009.34765914877,193009.34765914877,193009.34765914877
1852.0,202724.5645315451,202724.5645315451,202724.5645315451
1853.0,213370.0939476798,213370.0939476798,213370.0939476798
1854.0,249112.72057313818,249112.72057313818,249112.72057313818
1855.0,254239.98229012938,254239.98229012938,254239.98229012938
1856.0,270213.8007326285,270213.8007326285,270213.8007326285
1857.0,273146.6219561899,273146.6219561899,273146.6219561899
1858.0,279179.2772523778,279179.2772523778,279179.2772523778
1859.0,296972.0149094192,296972.0149094192,296972.0149094192
1860.0,323848.23141200776,323848.23141200776,323848.23141200776
1861.0,340638.62512523093,340638.62512523093,340638.62512523093
1862.0,347801.2929733272,347801.2929733272,347801.2929733272
1863.0,371270.4813456821,371270.4813456821,371270.4813456821
1864.0,398962.24919328734,398962.24919328734,398962.24919328734
1865.0,423459.3008042734,423459.3008042734,423459.3008042734
1866.0,436850.21176020155,436850.21176020155,436850.21176020155
1867.0,470534.6921699123,470534.6921699123,470534.6921699123
1868.0,485111.93984989,485111.93984989,485111.93984989
1869.0,516228.76492487756,516228.76492487756,516228.76492487756
1870.0,530226.7134620212,530226.7134620212,530226.7134620212
1871.0,569004.231624077,569004.231624077,569004.231624077
1872.0,636721.4330276122,636721.4330276122,636721.4330276122
1873.0,680943.390323241,680943.390323241,680943.390323241
1874.0,659363.7004014996,659363.7004014996,659363.7004014996
1875.0,700207.3095453195,700207.3095453195,700207.3095453195
1876.0,712838.7913175732,712838.7913175732,712838.7913175732
1877.0,728415.2330877268,728415.2330877268,728415.2330877268
1878.0,737474.0605262527,737474.0605262527,737474.0605262527
1879.0,795125.6991819926,795125.6991819926,795125.6991819926
1880.0,909524.0201598341,909524.0201598341,909524.0201598341
1881.0,928392.6758340858,928392.6758340858,928392.6758340858
1882.0,984132.7512815754,984132.7512815754,984132.7512815754
1883.0,1049080.532776002,1049080.532776002,1049080.532776002
1884.0,1063140.3699276026,1063140.3699276026,1063140.3699276026
1885.0,1074221.73700473,1074221.73700473,1074221.73700473
1886.0,1091925.8707190682,1091925.8707190682,1091925.8707190682
1887.0,1148658.2283379757,1148658.2283379757,1148658.2283379757
1888.0,1274182.2582138511,1274182.2582138511,1274182.2582138511
1889.0,1272524.9914911438,1272524.9914911438,1272524.9914911438
1890.0,1386533.3516622542,1386533.3516622542,1386533.3516622542
1891.0,1452423.1355680758,1452423.1355680758,1452423.1355680758
1892.0,1466865.5722188575,1466865.5722188575,1466865.5722188575
1893.0,1454938.847234194,1454938.847234194,1454938.847234194
1894.0,1506699.0148058399,1506699.0148058399,1506699.0148058399
