#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h56 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A1B : Sc�nario interm�diaire
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;A1B;H1;13.12;84.55;26.2;7.15;
423;41.4925;8.9759;A1B;H1;12.24;77.9;22.2;4.6;
424;41.4864;9.071;A1B;H1;13.56;87.75;28.6;8.5;
425;41.4802;9.166;A1B;H1;12.38;79;22.7;5;
426;41.4739;9.261;A1B;H1;13.1;84.35;26.2;7.15;
564;41.5759;8.7935;A1B;H1;10.09;67.8;6.85;0;
565;41.57;8.8888;A1B;H1;9.82;65.35;7.5;0;
566;41.564;8.984;A1B;H1;9.6;62.95;8.5;0.1;
567;41.5579;9.0791;A1B;H1;6.8;34.8;7.45;1.25;
568;41.5517;9.1743;A1B;H1;13.28;85.7;27;7.5;
569;41.5454;9.2694;A1B;H1;13.37;86.15;27.3;7.7;
707;41.6474;8.8014;A1B;H1;9.91;65.1;5.4;0.05;
708;41.6415;8.8967;A1B;H1;10.03;67.3;6.8;0;
709;41.6355;8.992;A1B;H1;9.65;63.2;8.45;0.15;
710;41.6294;9.0873;A1B;H1;6.95;35.45;6.25;0.25;
711;41.6232;9.1826;A1B;H1;7.38;40.25;5.75;0.2;
712;41.6169;9.2779;A1B;H1;10.19;63.1;9.6;1.2;
849;41.7248;8.7138;A1B;H1;9.72;62.55;6;0.05;
850;41.719;8.8093;A1B;H1;10.31;68.25;5.65;0.05;
851;41.713;8.9047;A1B;H1;8.24;46.1;4.9;0.2;
852;41.707;9.0001;A1B;H1;7.18;37.9;5.9;0.25;
853;41.7009;9.0955;A1B;H1;6.86;35.15;6.6;0.75;
854;41.6946;9.1909;A1B;H1;6.8;34.4;8.35;1.75;
855;41.6884;9.2863;A1B;H1;9.28;58.15;7.65;0.6;
856;41.682;9.3817;A1B;H1;10.22;63.4;9.6;1.25;
993;41.7905;8.8171;A1B;H1;8.61;49.75;5.1;0.2;
994;41.7845;8.9127;A1B;H1;7.97;44.3;4.05;0.3;
995;41.7785;9.0083;A1B;H1;6.59;31.55;7.3;1.7;
996;41.7724;9.1038;A1B;H1;5.28;22.7;3.25;0;
997;41.7661;9.1993;A1B;H1;5.63;25.45;5.2;0.2;
998;41.7598;9.2948;A1B;H1;6.24;29.7;3.45;0;
1136;41.862;8.8251;A1B;H1;9.34;56.3;6.65;0.05;
1137;41.856;8.9207;A1B;H1;6.72;32.1;4.9;0.1;
1138;41.85;9.0164;A1B;H1;6.77;32.2;4.85;0.15;
1139;41.8439;9.112;A1B;H1;4.17;12.55;0;0;
1140;41.8376;9.2077;A1B;H1;4.36;15.35;0.2;0;
1141;41.8313;9.3033;A1B;H1;8.75;54.3;6.4;0.3;
1277;41.9452;8.6413;A1B;H1;9.62;61.65;6.2;0.1;
1278;41.9394;8.7372;A1B;H1;10.19;67.45;5.25;0.05;
1279;41.9335;8.833;A1B;H1;9.79;63.8;5.4;0;
1280;41.9276;8.9288;A1B;H1;7.68;40.5;4.95;0.2;
1281;41.9215;9.0246;A1B;H1;5.53;24.8;3.35;0;
1282;41.9154;9.1203;A1B;H1;5.42;23.45;3.95;0.05;
1283;41.9091;9.216;A1B;H1;5.51;21.75;1.35;0;
1284;41.9028;9.3118;A1B;H1;9.81;59.8;5.15;0.8;
1421;42.011;8.745;A1B;H1;9.36;57.15;6.65;0.1;
1422;42.0051;8.8409;A1B;H1;9.16;54.55;6.55;0.1;
1423;41.9991;8.9368;A1B;H1;6.58;31.95;7.15;2.1;
1424;41.993;9.0327;A1B;H1;5.5;24.6;3.2;0;
1425;41.9869;9.1286;A1B;H1;4.16;12.5;0;0;
1426;41.9806;9.2245;A1B;H1;5.19;18.5;1.65;0;
1427;41.9743;9.3203;A1B;H1;10.27;64.5;5.55;1.05;
1563;42.0883;8.6568;A1B;H1;10.34;68.5;5.75;0.05;
1564;42.0825;8.7528;A1B;H1;9.6;61.05;6.4;0.15;
1565;42.0766;8.8489;A1B;H1;6.93;33.7;4.7;0.1;
1566;42.0706;8.9449;A1B;H1;6.7;32.2;4.9;0.15;
1567;42.0646;9.0409;A1B;H1;4.99;20.25;1.9;0;
