#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h58 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;A2;H1;12.67;84.15;24.65;5.9;
423;41.4925;8.9759;A2;H1;11.84;78;21.25;4;
424;41.4864;9.071;A2;H1;13.08;86.65;26.55;6.65;
425;41.4802;9.166;A2;H1;11.98;79;21.7;4.1;
426;41.4739;9.261;A2;H1;12.65;84;24.65;5.85;
564;41.5759;8.7935;A2;H1;9.86;67.65;5.7;0.2;
565;41.57;8.8888;A2;H1;9.59;65.1;6.05;0.2;
566;41.564;8.984;A2;H1;9.37;62.1;7.25;0.3;
567;41.5579;9.0791;A2;H1;6.56;33.15;6.25;1.05;
568;41.5517;9.1743;A2;H1;12.82;84.6;25.4;6.15;
569;41.5454;9.2694;A2;H1;12.9;85.05;25.6;6.3;
707;41.6474;8.8014;A2;H1;9.77;65.5;4.3;0.15;
708;41.6415;8.8967;A2;H1;9.8;67.2;5.7;0.2;
709;41.6355;8.992;A2;H1;9.41;62.25;7.15;0.3;
710;41.6294;9.0873;A2;H1;6.76;35.05;5;0.45;
711;41.6232;9.1826;A2;H1;7.2;39.3;4.85;0.4;
712;41.6169;9.2779;A2;H1;9.88;61.9;7.65;0.85;
849;41.7248;8.7138;A2;H1;9.57;62.75;4.65;0.3;
850;41.719;8.8093;A2;H1;10.17;69.7;4.35;0.15;
851;41.713;8.9047;A2;H1;8.12;47.2;3.45;0.5;
852;41.707;9.0001;A2;H1;7;37.2;4.95;0.45;
853;41.7009;9.0955;A2;H1;6.65;34;5.5;0.55;
854;41.6946;9.1909;A2;H1;6.52;32.6;7.1;1.55;
855;41.6884;9.2863;A2;H1;9.04;57.15;6.1;0.6;
856;41.682;9.3817;A2;H1;9.91;62.15;7.7;0.9;
993;41.7905;8.8171;A2;H1;8.49;50.15;3.9;0.5;
994;41.7845;8.9127;A2;H1;7.83;44.65;3.15;0.15;
995;41.7785;9.0083;A2;H1;6.4;28.35;5.6;1.4;
996;41.7724;9.1038;A2;H1;5.09;21.7;2.75;0.2;
997;41.7661;9.1993;A2;H1;5.39;23.9;4.2;0.4;
998;41.7598;9.2948;A2;H1;6.05;29.1;2.9;0.1;
1136;41.862;8.8251;A2;H1;9.2;57.95;5.05;0.55;
1137;41.856;8.9207;A2;H1;6.6;31.05;3.5;0.65;
1138;41.85;9.0164;A2;H1;6.65;31.4;3.5;0.6;
1139;41.8439;9.112;A2;H1;4.11;10.95;0.6;0;
1140;41.8376;9.2077;A2;H1;4.24;13.4;0.45;0;
1141;41.8313;9.3033;A2;H1;8.54;52.9;5.05;0.5;
1277;41.9452;8.6413;A2;H1;9.48;61.75;4.8;0.35;
1278;41.9394;8.7372;A2;H1;10.05;68.6;4.2;0.15;
1279;41.9335;8.833;A2;H1;9.66;64.1;4.25;0.15;
1280;41.9276;8.9288;A2;H1;7.56;41.5;3.95;0.65;
1281;41.9215;9.0246;A2;H1;5.42;23.35;2.3;0.5;
1282;41.9154;9.1203;A2;H1;5.26;21.45;3.05;0.55;
1283;41.9091;9.216;A2;H1;5.39;19.6;1.4;0.1;
1284;41.9028;9.3118;A2;H1;9.57;57.8;3.85;0.35;
1421;42.011;8.745;A2;H1;9.23;58.15;5.25;0.5;
1422;42.0051;8.8409;A2;H1;9.03;56.25;4.8;0.5;
1423;41.9991;8.9368;A2;H1;6.37;28.4;5.45;1.4;
1424;41.993;9.0327;A2;H1;5.39;22.95;2.2;0.45;
1425;41.9869;9.1286;A2;H1;4.1;10.75;0.5;0;
1426;41.9806;9.2245;A2;H1;5;15.15;1;0;
1427;41.9743;9.3203;A2;H1;10.02;63.8;4.3;0.5;
1563;42.0883;8.6568;A2;H1;10.19;69.95;4.45;0.15;
1564;42.0825;8.7528;A2;H1;9.46;61.35;5;0.45;
1565;42.0766;8.8489;A2;H1;6.81;33.45;3.3;0.55;
1566;42.0706;8.9449;A2;H1;6.58;30.65;3.6;0.7;
1567;42.0646;9.0409;A2;H1;4.89;18.6;1.6;0.15;
1568;42.0584;9.1369;A2;H1;4.39;10.65;0.15;0;
1569;42.0522;9.2329;A2;H1;5.25;17.75;1.25;0.05;
1570;42.0458;9.3288;A2;H1;10.6;70.55;5.2;1.2;
