#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 08h09 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     REF : r�f�rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : R�f�rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;REF;REF;16.42;118.8;47.75;8.9;
423;41.4925;8.9759;REF;REF;15.25;111.15;39.95;6.75;
424;41.4864;9.071;REF;REF;16.99;121.9;50.3;10.15;
425;41.4802;9.166;REF;REF;15.46;112.55;41.1;6.95;
426;41.4739;9.261;REF;REF;16.4;118.65;47.55;8.85;
564;41.5759;8.7935;REF;REF;11.18;84.5;11.55;0.5;
565;41.57;8.8888;REF;REF;11.16;83.7;14;0.75;
566;41.564;8.984;REF;REF;11.18;82.45;16.25;0.7;
567;41.5579;9.0791;REF;REF;9.63;66.65;18.5;2.4;
568;41.5517;9.1743;REF;REF;16.64;119.85;48.9;9.3;
569;41.5454;9.2694;REF;REF;16.75;120.6;49.2;9.5;
707;41.6474;8.8014;REF;REF;11.17;84.05;12.15;0.5;
708;41.6415;8.8967;REF;REF;11.17;84.15;11.9;0.5;
709;41.6355;8.992;REF;REF;11.17;82.65;15.75;0.7;
710;41.6294;9.0873;REF;REF;9.39;66.2;14.9;1.2;
711;41.6232;9.1826;REF;REF;9.47;68.15;13.05;0.4;
712;41.6169;9.2779;REF;REF;11.7;88.55;12.05;2.4;
849;41.7248;8.7138;REF;REF;11.16;83.6;14.1;0.75;
850;41.719;8.8093;REF;REF;11.21;84.15;10.6;0.5;
851;41.713;8.9047;REF;REF;10.43;76.95;14.5;0.6;
852;41.707;9.0001;REF;REF;9.43;67.5;13.65;0.75;
853;41.7009;9.0955;REF;REF;9.42;65.85;15.85;1.55;
854;41.6946;9.1909;REF;REF;9.9;67.05;21;3.9;
855;41.6884;9.2863;REF;REF;11.26;84.3;14.65;2.75;
856;41.682;9.3817;REF;REF;11.72;88.6;12.1;2.45;
993;41.7905;8.8171;REF;REF;10.66;78.55;14.95;0.6;
994;41.7845;8.9127;REF;REF;9.7;70;11;0.25;
995;41.7785;9.0083;REF;REF;10.05;67.75;22.3;4.5;
996;41.7724;9.1038;REF;REF;7.4;50.4;8.1;0.4;
997;41.7661;9.1993;REF;REF;8.22;56.55;12.15;1.25;
998;41.7598;9.2948;REF;REF;8.35;59.3;7.65;0.1;
1136;41.862;8.8251;REF;REF;11.1;81.8;16.4;0.75;
1137;41.856;8.9207;REF;REF;9.38;66.05;15.5;1.4;
1138;41.85;9.0164;REF;REF;9.39;66.2;14.9;1.2;
1139;41.8439;9.112;REF;REF;4.81;25;0.75;0;
1140;41.8376;9.2077;REF;REF;5;26.95;1.35;0;
1141;41.8313;9.3033;REF;REF;10.76;81.15;14.5;2.4;
1277;41.9452;8.6413;REF;REF;11.17;82.95;14.7;0.7;
1278;41.9394;8.7372;REF;REF;11.2;84.35;11.05;0.5;
1279;41.9335;8.833;REF;REF;11.16;83.6;12.9;0.6;
1280;41.9276;8.9288;REF;REF;10.06;73.25;14.5;0.8;
1281;41.9215;9.0246;REF;REF;7.57;51.8;8.5;0.8;
1282;41.9154;9.1203;REF;REF;8.18;56.3;11.95;1.2;
1283;41.9091;9.216;REF;REF;6.88;42.1;3.6;0.1;
1284;41.9028;9.3118;REF;REF;10.55;78.95;8.35;0.5;
1421;42.011;8.745;REF;REF;11.11;82.1;16.4;0.8;
1422;42.0051;8.8409;REF;REF;11.01;80.85;16.05;0.7;
1423;41.9991;8.9368;REF;REF;10.13;68.1;23.3;5.1;
1424;41.993;9.0327;REF;REF;7.5;51.45;8.35;0.75;
1425;41.9869;9.1286;REF;REF;4.77;24.55;0.6;0;
1426;41.9806;9.2245;REF;REF;6.55;39.6;2.8;0.05;
1427;41.9743;9.3203;REF;REF;10.66;79.95;7.7;0.75;
1563;42.0883;8.6568;REF;REF;11.22;84.5;10.55;0.5;
1564;42.0825;8.7528;REF;REF;11.17;83;14.9;0.75;
1565;42.0766;8.8489;REF;REF;9.41;66.95;13.85;0.85;
1566;42.0706;8.9449;REF;REF;9.36;65.95;15.6;1.45;
1567;42.0646;9.0409;REF;REF;7.1;48;6.85;0.35;
1568;42.0584;9.1369;REF;REF;4.76;19.7;0.2;0;
1569;42.0522;9.2329;REF;REF;7.09;44.35;4.05;0.15;
1570;42.0458;9.3288;REF;REF;10.81;81;7.6;0.85;
1571;42.0394;9.4248;REF;REF;11.05;83.4;7.35;1.15;
1637;42.3488;1.9977;REF;REF;5.84;15.2;0.65;0.05;
1642;42.3492;2.4818;REF;REF;4.26;6.6;0;0;
1643;42.349;2.5786;REF;REF;4.82;9.7;0.1;0;
1644;42.3488;2.6754;REF;REF;5.88;18.25;0.15;0;
1705;42.1656;8.5683;REF;REF;11.19;84.35;11.05;0.5;
1706;42.1599;8.6645;REF;REF;10.37;76.45;14.2;0.6;
1707;42.1541;8.7607;REF;REF;9.46;68.1;13.05;0.4;
1708;42.1482;8.8569;REF;REF;9.87;66.9;20.75;3.7;
1709;42.1422;8.953;REF;REF;9.06;61.95;16.2;2.2;
1710;42.1361;9.0491;REF;REF;4.72;19.15;0.2;0;
1711;42.1299;9.1452;REF;REF;6.3;36.85;2.1;0;
1712;42.1237;9.2413;REF;REF;7.83;52.25;4.8;0.2;
1713;42.1173;9.3374;REF;REF;10.58;79.1;7.85;0.55;
1714;42.1109;9.4334;REF;REF;11.01;82.8;7.25;1.15;
1715;42.1044;9.5295;REF;REF;11.1;83.35;7.55;1.2;
1780;42.4206;1.9973;REF;REF;8.81;50.05;5.8;0.65;
1781;42.4208;2.0942;REF;REF;5;7.55;0.1;0;
1782;42.421;2.1912;REF;REF;4.65;2.25;0.1;0;
1784;42.4211;2.3851;REF;REF;3.43;1.85;0.1;0;
1785;42.421;2.482;REF;REF;4.07;4.9;0;0;
1786;42.4209;2.5789;REF;REF;5.74;16.65;0.1;0;
1787;42.4206;2.6759;REF;REF;4.89;10.05;0.1;0;
1788;42.4202;2.7728;REF;REF;5.79;17.2;0.1;0;
1849;42.2315;8.6723;REF;REF;10.05;73;14.55;0.8;
1850;42.2256;8.7686;REF;REF;9.87;66.9;20.75;3.7;
1851;42.2197;8.8649;REF;REF;5.98;37.15;3.5;0;
1852;42.2137;8.9611;REF;REF;4.25;13.05;0.15;0;
1853;42.2076;9.0574;REF;REF;4.21;12.55;0.15;0;
1854;42.2015;9.1536;REF;REF;7.92;52.9;4.75;0.2;
1855;42.1952;9.2498;REF;REF;11.14;80.15;10.75;0.65;
1856;42.1889;9.346;REF;REF;10.48;78.45;8.55;0.5;
1857;42.1824;9.4421;REF;REF;10.5;74.1;5.15;0.95;
1918;42.4897;1.5116;REF;REF;5.93;22.25;0.95;0;
1919;42.4905;1.6087;REF;REF;3.89;3.4;0.1;0;
1920;42.4911;1.7057;REF;REF;3.93;2.6;0.05;0;
1921;42.4916;1.8028;REF;REF;4.48;6.25;0.15;0;
1922;42.4921;1.8998;REF;REF;5.49;12.9;0.35;0.05;
1923;42.4924;1.9969;REF;REF;6.44;21.2;1.2;0.05;
1924;42.4927;2.0939;REF;REF;6.8;25.3;1.6;0.05;
1925;42.4929;2.191;REF;REF;5.71;17.5;0.5;0;
1926;42.4929;2.2881;REF;REF;5.97;21.2;0.6;0;
1927;42.4929;2.3851;REF;REF;6.03;22.2;0.8;0;
1928;42.4929;2.4822;REF;REF;3.26;0.95;0.05;0;
1929;42.4927;2.5792;REF;REF;4.59;8.35;0.1;0;
1930;42.4924;2.6763;REF;REF;8.53;43.35;2.85;0;
1931;42.4921;2.7733;REF;REF;13.72;95.3;19.7;3.35;
1932;42.4916;2.8704;REF;REF;12.9;87.85;18.15;3.6;
1933;42.4911;2.9674;REF;REF;12;75.85;16.15;2.55;
1934;42.4905;3.0645;REF;REF;16.54;108.95;35.05;12.75;
1992;42.303;8.6801;REF;REF;10.69;78.7;15.1;0.6;
1993;42.2972;8.7765;REF;REF;5.93;33.4;1.5;0;
1994;42.2913;8.8729;REF;REF;4.83;20.6;0.25;0;
1995;42.2853;8.9693;REF;REF;5.03;22.75;0.3;0;
1996;42.2792;9.0656;REF;REF;5.65;30.1;0.9;0;
