Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
282;41.4087;9.1577;A1B;H1;-0.52;
423;41.4925;8.9759;A1B;H1;-0.52;
424;41.4864;9.071;A1B;H1;-0.53;
425;41.4802;9.166;A1B;H1;-0.52;
426;41.4739;9.261;A1B;H1;-0.52;
564;41.5759;8.7935;A1B;H1;-0.78;
565;41.57;8.8888;A1B;H1;-0.78;
566;41.564;8.984;A1B;H1;-0.77;
567;41.5579;9.0791;A1B;H1;-0.69;
568;41.5517;9.1743;A1B;H1;-0.53;
569;41.5454;9.2694;A1B;H1;-0.53;
707;41.6474;8.8014;A1B;H1;-0.78;
708;41.6415;8.8967;A1B;H1;-0.78;
709;41.6355;8.992;A1B;H1;-0.78;
710;41.6294;9.0873;A1B;H1;-0.7;
711;41.6232;9.1826;A1B;H1;-0.7;
712;41.6169;9.2779;A1B;H1;-0.26;
849;41.7248;8.7138;A1B;H1;-0.78;
850;41.719;8.8093;A1B;H1;-0.78;
851;41.713;8.9047;A1B;H1;-0.78;
852;41.707;9.0001;A1B;H1;-0.7;
853;41.7009;9.0955;A1B;H1;-0.7;
854;41.6946;9.1909;A1B;H1;-0.69;
855;41.6884;9.2863;A1B;H1;-0.27;
856;41.682;9.3817;A1B;H1;-0.26;
993;41.7905;8.8171;A1B;H1;-0.78;
994;41.7845;8.9127;A1B;H1;-0.7;
995;41.7785;9.0083;A1B;H1;-0.69;
996;41.7724;9.1038;A1B;H1;-0.42;
997;41.7661;9.1993;A1B;H1;-0.42;
998;41.7598;9.2948;A1B;H1;-0.42;
1136;41.862;8.8251;A1B;H1;-0.77;
1137;41.856;8.9207;A1B;H1;-0.7;
1138;41.85;9.0164;A1B;H1;-0.7;
1139;41.8439;9.112;A1B;H1;-0.42;
1140;41.8376;9.2077;A1B;H1;-0.42;
1141;41.8313;9.3033;A1B;H1;-0.27;
1277;41.9452;8.6413;A1B;H1;-0.78;
1278;41.9394;8.7372;A1B;H1;-0.78;
1279;41.9335;8.833;A1B;H1;-0.78;
1280;41.9276;8.9288;A1B;H1;-0.78;
1281;41.9215;9.0246;A1B;H1;-0.69;
1282;41.9154;9.1203;A1B;H1;-0.42;
1283;41.9091;9.216;A1B;H1;-0.51;
1284;41.9028;9.3118;A1B;H1;-0.38;
1421;42.011;8.745;A1B;H1;-0.77;
1422;42.0051;8.8409;A1B;H1;-0.77;
1423;41.9991;8.9368;A1B;H1;-0.69;
1424;41.993;9.0327;A1B;H1;-0.69;
1425;41.9869;9.1286;A1B;H1;-0.42;
1426;41.9806;9.2245;A1B;H1;-0.51;
1427;41.9743;9.3203;A1B;H1;-0.38;
1563;42.0883;8.6568;A1B;H1;-0.78;
1564;42.0825;8.7528;A1B;H1;-0.78;
1565;42.0766;8.8489;A1B;H1;-0.7;
1566;42.0706;8.9449;A1B;H1;-0.7;
1567;42.0646;9.0409;A1B;H1;-0.42;
1568;42.0584;9.1369;A1B;H1;-0.5;
1569;42.0522;9.2329;A1B;H1;-0.51;
1570;42.0458;9.3288;A1B;H1;-0.38;
1571;42.0394;9.4248;A1B;H1;-0.38;
1637;42.3488;1.9977;A1B;H1;0.01;
1642;42.3492;2.4818;A1B;H1;-0.2;
1643;42.349;2.5786;A1B;H1;-0.17;
1644;42.3488;2.6754;A1B;H1;-0.16;
1705;42.1656;8.5683;A1B;H1;-0.78;
1706;42.1599;8.6645;A1B;H1;-0.78;
1707;42.1541;8.7607;A1B;H1;-0.7;
1708;42.1482;8.8569;A1B;H1;-0.69;
1709;42.1422;8.953;A1B;H1;-0.43;
1710;42.1361;9.0491;A1B;H1;-0.5;
1711;42.1299;9.1452;A1B;H1;-0.51;
1712;42.1237;9.2413;A1B;H1;-0.5;
1713;42.1173;9.3374;A1B;H1;-0.38;
1714;42.1109;9.4334;A1B;H1;-0.38;
1715;42.1044;9.5295;A1B;H1;-0.38;
1780;42.4206;1.9973;A1B;H1;0.01;
1781;42.4208;2.0942;A1B;H1;0.02;
1782;42.421;2.1912;A1B;H1;-0.12;
