#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h09 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     B1 : scenario optimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;B1;H1;-0.42;
423;41.4925;8.9759;B1;H1;-0.42;
424;41.4864;9.071;B1;H1;-0.43;
425;41.4802;9.166;B1;H1;-0.42;
426;41.4739;9.261;B1;H1;-0.42;
564;41.5759;8.7935;B1;H1;-0.55;
565;41.57;8.8888;B1;H1;-0.55;
566;41.564;8.984;B1;H1;-0.54;
567;41.5579;9.0791;B1;H1;-0.56;
568;41.5517;9.1743;B1;H1;-0.42;
569;41.5454;9.2694;B1;H1;-0.43;
707;41.6474;8.8014;B1;H1;-0.55;
708;41.6415;8.8967;B1;H1;-0.55;
709;41.6355;8.992;B1;H1;-0.54;
710;41.6294;9.0873;B1;H1;-0.56;
711;41.6232;9.1826;B1;H1;-0.56;
712;41.6169;9.2779;B1;H1;-0.2;
849;41.7248;8.7138;B1;H1;-0.55;
850;41.719;8.8093;B1;H1;-0.55;
851;41.713;8.9047;B1;H1;-0.54;
852;41.707;9.0001;B1;H1;-0.56;
853;41.7009;9.0955;B1;H1;-0.56;
854;41.6946;9.1909;B1;H1;-0.56;
855;41.6884;9.2863;B1;H1;-0.19;
856;41.682;9.3817;B1;H1;-0.2;
993;41.7905;8.8171;B1;H1;-0.54;
994;41.7845;8.9127;B1;H1;-0.57;
995;41.7785;9.0083;B1;H1;-0.56;
996;41.7724;9.1038;B1;H1;-0.24;
997;41.7661;9.1993;B1;H1;-0.25;
998;41.7598;9.2948;B1;H1;-0.25;
1136;41.862;8.8251;B1;H1;-0.54;
1137;41.856;8.9207;B1;H1;-0.56;
1138;41.85;9.0164;B1;H1;-0.56;
1139;41.8439;9.112;B1;H1;-0.25;
1140;41.8376;9.2077;B1;H1;-0.24;
1141;41.8313;9.3033;B1;H1;-0.19;
1277;41.9452;8.6413;B1;H1;-0.55;
1278;41.9394;8.7372;B1;H1;-0.55;
1279;41.9335;8.833;B1;H1;-0.55;
1280;41.9276;8.9288;B1;H1;-0.54;
1281;41.9215;9.0246;B1;H1;-0.55;
1282;41.9154;9.1203;B1;H1;-0.25;
1283;41.9091;9.216;B1;H1;-0.23;
1284;41.9028;9.3118;B1;H1;-0.14;
1421;42.011;8.745;B1;H1;-0.54;
1422;42.0051;8.8409;B1;H1;-0.54;
1423;41.9991;8.9368;B1;H1;-0.56;
1424;41.993;9.0327;B1;H1;-0.55;
1425;41.9869;9.1286;B1;H1;-0.25;
1426;41.9806;9.2245;B1;H1;-0.23;
1427;41.9743;9.3203;B1;H1;-0.14;
1563;42.0883;8.6568;B1;H1;-0.55;
1564;42.0825;8.7528;B1;H1;-0.54;
1565;42.0766;8.8489;B1;H1;-0.56;
1566;42.0706;8.9449;B1;H1;-0.56;
1567;42.0646;9.0409;B1;H1;-0.24;
1568;42.0584;9.1369;B1;H1;-0.23;
