#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h06 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;A2;H1;-0.54;
423;41.4925;8.9759;A2;H1;-0.53;
424;41.4864;9.071;A2;H1;-0.54;
425;41.4802;9.166;A2;H1;-0.53;
426;41.4739;9.261;A2;H1;-0.54;
564;41.5759;8.7935;A2;H1;-0.77;
565;41.57;8.8888;A2;H1;-0.77;
566;41.564;8.984;A2;H1;-0.77;
567;41.5579;9.0791;A2;H1;-0.78;
568;41.5517;9.1743;A2;H1;-0.54;
569;41.5454;9.2694;A2;H1;-0.54;
707;41.6474;8.8014;A2;H1;-0.77;
708;41.6415;8.8967;A2;H1;-0.77;
709;41.6355;8.992;A2;H1;-0.77;
710;41.6294;9.0873;A2;H1;-0.79;
711;41.6232;9.1826;A2;H1;-0.8;
712;41.6169;9.2779;A2;H1;-0.26;
849;41.7248;8.7138;A2;H1;-0.77;
850;41.719;8.8093;A2;H1;-0.77;
851;41.713;8.9047;A2;H1;-0.77;
852;41.707;9.0001;A2;H1;-0.8;
853;41.7009;9.0955;A2;H1;-0.79;
854;41.6946;9.1909;A2;H1;-0.78;
855;41.6884;9.2863;A2;H1;-0.26;
856;41.682;9.3817;A2;H1;-0.26;
993;41.7905;8.8171;A2;H1;-0.77;
994;41.7845;8.9127;A2;H1;-0.81;
995;41.7785;9.0083;A2;H1;-0.78;
996;41.7724;9.1038;A2;H1;-0.6;
997;41.7661;9.1993;A2;H1;-0.6;
998;41.7598;9.2948;A2;H1;-0.6;
1136;41.862;8.8251;A2;H1;-0.77;
1137;41.856;8.9207;A2;H1;-0.79;
1138;41.85;9.0164;A2;H1;-0.79;
1139;41.8439;9.112;A2;H1;-0.61;
1140;41.8376;9.2077;A2;H1;-0.6;
1141;41.8313;9.3033;A2;H1;-0.26;
1277;41.9452;8.6413;A2;H1;-0.77;
1278;41.9394;8.7372;A2;H1;-0.77;
1279;41.9335;8.833;A2;H1;-0.77;
1280;41.9276;8.9288;A2;H1;-0.77;
1281;41.9215;9.0246;A2;H1;-0.77;
1282;41.9154;9.1203;A2;H1;-0.6;
1283;41.9091;9.216;A2;H1;-0.66;
1284;41.9028;9.3118;A2;H1;-0.32;
1421;42.011;8.745;A2;H1;-0.77;
1422;42.0051;8.8409;A2;H1;-0.77;
1423;41.9991;8.9368;A2;H1;-0.78;
1424;41.993;9.0327;A2;H1;-0.77;
1425;41.9869;9.1286;A2;H1;-0.61;
1426;41.9806;9.2245;A2;H1;-0.66;
1427;41.9743;9.3203;A2;H1;-0.32;
1563;42.0883;8.6568;A2;H1;-0.77;
1564;42.0825;8.7528;A2;H1;-0.77;
1565;42.0766;8.8489;A2;H1;-0.79;
1566;42.0706;8.9449;A2;H1;-0.79;
1567;42.0646;9.0409;A2;H1;-0.59;
1568;42.0584;9.1369;A2;H1;-0.66;
1569;42.0522;9.2329;A2;H1;-0.66;
1570;42.0458;9.3288;A2;H1;-0.32;
1571;42.0394;9.4248;A2;H1;-0.32;
1637;42.3488;1.9977;A2;H1;0.15;
1642;42.3492;2.4818;A2;H1;-0.15;
1643;42.349;2.5786;A2;H1;-0.13;
1644;42.3488;2.6754;A2;H1;-0.06;
1705;42.1656;8.5683;A2;H1;-0.77;
1706;42.1599;8.6645;A2;H1;-0.77;
1707;42.1541;8.7607;A2;H1;-0.8;
1708;42.1482;8.8569;A2;H1;-0.78;
1709;42.1422;8.953;A2;H1;-0.61;
1710;42.1361;9.0491;A2;H1;-0.66;
1711;42.1299;9.1452;A2;H1;-0.66;
1712;42.1237;9.2413;A2;H1;-0.66;
1713;42.1173;9.3374;A2;H1;-0.32;
1714;42.1109;9.4334;A2;H1;-0.32;
1715;42.1044;9.5295;A2;H1;-0.32;
1780;42.4206;1.9973;A2;H1;0.12;
1781;42.4208;2.0942;A2;H1;0.14;
1782;42.421;2.1912;A2;H1;-0.21;
1784;42.4211;2.3851;A2;H1;-0.07;
1785;42.421;2.482;A2;H1;0.14;
1786;42.4209;2.5789;A2;H1;-0.06;
1787;42.4206;2.6759;A2;H1;-0.12;
1788;42.4202;2.7728;A2;H1;-0.06;
1849;42.2315;8.6723;A2;H1;-0.77;
1850;42.2256;8.7686;A2;H1;-0.78;
1851;42.2197;8.8649;A2;H1;-0.77;
1852;42.2137;8.9611;A2;H1;-0.64;
1853;42.2076;9.0574;A2;H1;-0.64;
1854;42.2015;9.1536;A2;H1;-0.66;
1855;42.1952;9.2498;A2;H1;-0.28;
1856;42.1889;9.346;A2;H1;-0.32;
1857;42.1824;9.4421;A2;H1;-0.35;
1918;42.4897;1.5116;A2;H1;-0.03;
1919;42.4905;1.6087;A2;H1;-0.02;
1920;42.4911;1.7057;A2;H1;-0.01;
1921;42.4916;1.8028;A2;H1;-0.16;
1922;42.4921;1.8998;A2;H1;0.15;
1923;42.4924;1.9969;A2;H1;0.14;
1924;42.4927;2.0939;A2;H1;0.14;
1925;42.4929;2.191;A2;H1;-0.22;
1926;42.4929;2.2881;A2;H1;-0.22;
1927;42.4929;2.3851;A2;H1;-0.22;
1928;42.4929;2.4822;A2;H1;-0.12;
1929;42.4927;2.5792;A2;H1;-0.12;
1930;42.4924;2.6763;A2;H1;-0.08;
1931;42.4921;2.7733;A2;H1;-0.68;
1932;42.4916;2.8704;A2;H1;-0.67;
1933;42.4911;2.9674;A2;H1;-0.65;
1934;42.4905;3.0645;A2;H1;-0.65;
1992;42.303;8.6801;A2;H1;-0.77;
1993;42.2972;8.7765;A2;H1;-0.67;
1994;42.2913;8.8729;A2;H1;-0.66;
1995;42.2853;8.9693;A2;H1;-0.66;
1996;42.2792;9.0656;A2;H1;-0.67;
1997;42.273;9.162;A2;H1;-0.29;
1998;42.2667;9.2583;A2;H1;-0.16;
1999;42.2604;9.3546;A2;H1;-0.16;
2000;42.2539;9.4509;A2;H1;-0.36;
2061;42.5616;1.5106;A2;H1;-0.02;
2062;42.5623;1.6078;A2;H1;-0;
2063;42.5629;1.7049;A2;H1;-0.02;
2064;42.5634;1.8021;A2;H1;-0.15;
2065;42.5639;1.8993;A2;H1;-0.16;
2066;42.5642;1.9965;A2;H1;-0.16;
2067;42.5645;2.0936;A2;H1;-0.14;
2068;42.5647;2.1908;A2;H1;-0.22;
2069;42.5648;2.288;A2;H1;-0.25;
2070;42.5648;2.3852;A2;H1;-0.25;
2071;42.5647;2.4823;A2;H1;-0.25;
2072;42.5645;2.5795;A2;H1;-0.67;
2073;42.5642;2.6767;A2;H1;-0.67;
2074;42.5639;2.7739;A2;H1;-0.68;
2075;42.5634;2.8711;A2;H1;-0.53;
2076;42.5629;2.9682;A2;H1;-0.52;
2135;42.3746;8.6879;A2;H1;-0.24;
2136;42.3688;8.7844;A2;H1;-0.66;
2137;42.3629;8.8809;A2;H1;-0.64;
2138;42.3568;8.9774;A2;H1;-0.66;
2139;42.3507;9.0739;A2;H1;-0.66;
2140;42.3446;9.1704;A2;H1;-0.28;
2141;42.3383;9.2668;A2;H1;-0.15;
2142;42.3319;9.3632;A2;H1;-0.16;
2143;42.3254;9.4596;A2;H1;-0.36;
2203;42.6326;1.4123;A2;H1;-0.47;
2204;42.6334;1.5096;A2;H1;-0.02;
2205;42.6341;1.6069;A2;H1;-0.47;
2206;42.6347;1.7042;A2;H1;-0.46;
2207;42.6353;1.8014;A2;H1;-0.48;
2208;42.6357;1.8987;A2;H1;-0.46;
2209;42.6361;1.996;A2;H1;-0.46;
2210;42.6363;2.0933;A2;H1;-0.15;
2211;42.6365;2.1906;A2;H1;-0.64;
2212;42.6366;2.2879;A2;H1;-0.24;
2213;42.6366;2.3852;A2;H1;-0.25;
2214;42.6365;2.4825;A2;H1;-0.67;
2215;42.6363;2.5798;A2;H1;-0.67;
2216;42.6361;2.6771;A2;H1;-0.68;
2217;42.6357;2.7744;A2;H1;-0.53;
2218;42.6353;2.8717;A2;H1;-0.53;
2219;42.6347;2.969;A2;H1;-0.52;
2278;42.4462;8.6957;A2;H1;-0.24;
2279;42.4404;8.7924;A2;H1;-0.24;
2280;42.4344;8.889;A2;H1;-0.65;
2281;42.4284;8.9856;A2;H1;-0.67;
2282;42.4223;9.0822;A2;H1;-0.66;
2283;42.4161;9.1788;A2;H1;-0.28;
2284;42.4098;9.2753;A2;H1;-0.16;
2285;42.4034;9.3719;A2;H1;-0.16;
2286;42.397;9.4684;A2;H1;-0.36;
2336;42.6915;0.4373;A2;H1;-0.55;
2337;42.6932;0.5346;A2;H1;-0.79;
2338;42.6948;0.632;A2;H1;-0.81;
2346;42.7044;1.4111;A2;H1;-0.48;
2347;42.7052;1.5086;A2;H1;-0.48;
2348;42.706;1.606;A2;H1;-0.48;
2349;42.7066;1.7034;A2;H1;-0.49;
2350;42.7071;1.8008;A2;H1;-0.5;
2351;42.7076;1.8982;A2;H1;-0.49;
2352;42.7079;1.9956;A2;H1;-0.48;
2353;42.7082;2.093;A2;H1;-0.44;
2354;42.7084;2.1905;A2;H1;-0.66;
2355;42.7085;2.2879;A2;H1;-0.67;
2356;42.7085;2.3853;A2;H1;-0.46;
2357;42.7084;2.4827;A2;H1;-0.54;
2358;42.7082;2.5801;A2;H1;-0.33;
2359;42.7079;2.6775;A2;H1;-0.38;
2360;42.7076;2.775;A2;H1;-0.53;
2361;42.7071;2.8724;A2;H1;-0.52;
2362;42.7066;2.9698;A2;H1;-0.52;
2421;42.5178;8.7036;A2;H1;-0.24;
2422;42.512;8.8003;A2;H1;-0.24;
2423;42.506;8.8971;A2;H1;-0.23;
2424;42.5;8.9938;A2;H1;-0.66;
2425;42.4939;9.0905;A2;H1;-0.66;
2426;42.4877;9.1872;A2;H1;-0.29;
2427;42.4814;9.2839;A2;H1;-0.29;
2428;42.475;9.3805;A2;H1;-0.36;
2429;42.4685;9.4772;A2;H1;-0.35;
2474;42.7535;-0.0524;A2;H1;-0.55;
2475;42.7557;0.045;A2;H1;-0.56;
2476;42.7577;0.1425;A2;H1;-0.55;
2477;42.7597;0.24;A2;H1;-0.56;
2478;42.7616;0.3374;A2;H1;-0.56;
2479;42.7634;0.4349;A2;H1;-0.5;
2480;42.765;0.5324;A2;H1;-0.81;
2481;42.7667;0.6299;A2;H1;-0.81;
2484;42.7709;0.9224;A2;H1;-0.8;
2486;42.7733;1.1174;A2;H1;-0.79;
2487;42.7744;1.2149;A2;H1;-0.8;
2488;42.7754;1.3125;A2;H1;-0.8;
2489;42.7763;1.41;A2;H1;-0.8;
2490;42.7771;1.5075;A2;H1;-0.5;
2491;42.7778;1.6051;A2;H1;-0.5;
2492;42.7784;1.7026;A2;H1;-0.51;
2493;42.779;1.8001;A2;H1;-0.49;
2494;42.7794;1.8977;A2;H1;-0.49;
2495;42.7798;1.9952;A2;H1;-0.65;
2496;42.78;2.0927;A2;H1;-0.68;
2497;42.7802;2.1903;A2;H1;-0.68;
