#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h01 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     REF : r�f�rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : R�f�rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;REF;REF;0.01;
423;41.4925;8.9759;REF;REF;0.01;
424;41.4864;9.071;REF;REF;0.01;
425;41.4802;9.166;REF;REF;0.01;
426;41.4739;9.261;REF;REF;0.01;
564;41.5759;8.7935;REF;REF;0.02;
565;41.57;8.8888;REF;REF;0.02;
566;41.564;8.984;REF;REF;0.02;
567;41.5579;9.0791;REF;REF;0.02;
568;41.5517;9.1743;REF;REF;0.01;
569;41.5454;9.2694;REF;REF;0.01;
707;41.6474;8.8014;REF;REF;0.02;
708;41.6415;8.8967;REF;REF;0.02;
709;41.6355;8.992;REF;REF;0.02;
710;41.6294;9.0873;REF;REF;0.02;
711;41.6232;9.1826;REF;REF;0.02;
712;41.6169;9.2779;REF;REF;0.01;
849;41.7248;8.7138;REF;REF;0.02;
850;41.719;8.8093;REF;REF;0.02;
851;41.713;8.9047;REF;REF;0.02;
852;41.707;9.0001;REF;REF;0.02;
853;41.7009;9.0955;REF;REF;0.02;
854;41.6946;9.1909;REF;REF;0.02;
855;41.6884;9.2863;REF;REF;0.01;
856;41.682;9.3817;REF;REF;0.01;
993;41.7905;8.8171;REF;REF;0.02;
994;41.7845;8.9127;REF;REF;0.02;
995;41.7785;9.0083;REF;REF;0.02;
996;41.7724;9.1038;REF;REF;0.02;
997;41.7661;9.1993;REF;REF;0.02;
998;41.7598;9.2948;REF;REF;0.02;
1136;41.862;8.8251;REF;REF;0.02;
1137;41.856;8.9207;REF;REF;0.02;
1138;41.85;9.0164;REF;REF;0.02;
1139;41.8439;9.112;REF;REF;0.02;
1140;41.8376;9.2077;REF;REF;0.02;
1141;41.8313;9.3033;REF;REF;0.01;
1277;41.9452;8.6413;REF;REF;0.02;
1278;41.9394;8.7372;REF;REF;0.02;
1279;41.9335;8.833;REF;REF;0.02;
1280;41.9276;8.9288;REF;REF;0.02;
1281;41.9215;9.0246;REF;REF;0.02;
1282;41.9154;9.1203;REF;REF;0.02;
1283;41.9091;9.216;REF;REF;0.03;
1284;41.9028;9.3118;REF;REF;0.01;
1421;42.011;8.745;REF;REF;0.02;
1422;42.0051;8.8409;REF;REF;0.02;
1423;41.9991;8.9368;REF;REF;0.02;
1424;41.993;9.0327;REF;REF;0.02;
1425;41.9869;9.1286;REF;REF;0.02;
1426;41.9806;9.2245;REF;REF;0.03;
1427;41.9743;9.3203;REF;REF;0.01;
1563;42.0883;8.6568;REF;REF;0.02;
1564;42.0825;8.7528;REF;REF;0.02;
1565;42.0766;8.8489;REF;REF;0.02;
1566;42.0706;8.9449;REF;REF;0.02;
1567;42.0646;9.0409;REF;REF;0.02;
1568;42.0584;9.1369;REF;REF;0.03;
1569;42.0522;9.2329;REF;REF;0.03;
1570;42.0458;9.3288;REF;REF;0.01;
1571;42.0394;9.4248;REF;REF;0.01;
1637;42.3488;1.9977;REF;REF;0.02;
1642;42.3492;2.4818;REF;REF;0.01;
1643;42.349;2.5786;REF;REF;0.01;
1644;42.3488;2.6754;REF;REF;0.01;
1705;42.1656;8.5683;REF;REF;0.02;
1706;42.1599;8.6645;REF;REF;0.02;
1707;42.1541;8.7607;REF;REF;0.02;
1708;42.1482;8.8569;REF;REF;0.02;
1709;42.1422;8.953;REF;REF;0.02;
1710;42.1361;9.0491;REF;REF;0.02;
1711;42.1299;9.1452;REF;REF;0.03;
1712;42.1237;9.2413;REF;REF;0.03;
1713;42.1173;9.3374;REF;REF;0.01;
1714;42.1109;9.4334;REF;REF;0.01;
1715;42.1044;9.5295;REF;REF;0.01;
1780;42.4206;1.9973;REF;REF;0.02;
1781;42.4208;2.0942;REF;REF;0.02;
1782;42.421;2.1912;REF;REF;0.01;
1784;42.4211;2.3851;REF;REF;0.01;
1785;42.421;2.482;REF;REF;0.01;
1786;42.4209;2.5789;REF;REF;0.01;
1787;42.4206;2.6759;REF;REF;0.01;
1788;42.4202;2.7728;REF;REF;0.01;
1849;42.2315;8.6723;REF;REF;0.02;
1850;42.2256;8.7686;REF;REF;0.02;
1851;42.2197;8.8649;REF;REF;0.02;
1852;42.2137;8.9611;REF;REF;0.02;
1853;42.2076;9.0574;REF;REF;0.02;
1854;42.2015;9.1536;REF;REF;0.03;
1855;42.1952;9.2498;REF;REF;0.01;
1856;42.1889;9.346;REF;REF;0.01;
1857;42.1824;9.4421;REF;REF;0.01;
1918;42.4897;1.5116;REF;REF;0.01;
1919;42.4905;1.6087;REF;REF;0.01;
1920;42.4911;1.7057;REF;REF;0.01;
1921;42.4916;1.8028;REF;REF;0.01;
1922;42.4921;1.8998;REF;REF;0.02;
1923;42.4924;1.9969;REF;REF;0.02;
1924;42.4927;2.0939;REF;REF;0.02;
1925;42.4929;2.191;REF;REF;0.01;
1926;42.4929;2.2881;REF;REF;0.01;
1927;42.4929;2.3851;REF;REF;0.01;
1928;42.4929;2.4822;REF;REF;0.01;
1929;42.4927;2.5792;REF;REF;0.01;
1930;42.4924;2.6763;REF;REF;0.01;
1931;42.4921;2.7733;REF;REF;0.02;
1932;42.4916;2.8704;REF;REF;0.02;
1933;42.4911;2.9674;REF;REF;0.02;
1934;42.4905;3.0645;REF;REF;0.02;
1992;42.303;8.6801;REF;REF;0.02;
1993;42.2972;8.7765;REF;REF;0.03;
1994;42.2913;8.8729;REF;REF;0.03;
1995;42.2853;8.9693;REF;REF;0.03;
1996;42.2792;9.0656;REF;REF;0.03;
1997;42.273;9.162;REF;REF;0.01;
1998;42.2667;9.2583;REF;REF;0.01;
1999;42.2604;9.3546;REF;REF;0.01;
2000;42.2539;9.4509;REF;REF;0.01;
2061;42.5616;1.5106;REF;REF;0.01;
2062;42.5623;1.6078;REF;REF;0.02;
2063;42.5629;1.7049;REF;REF;0.01;
2064;42.5634;1.8021;REF;REF;0.01;
2065;42.5639;1.8993;REF;REF;0.01;
2066;42.5642;1.9965;REF;REF;0.01;
2067;42.5645;2.0936;REF;REF;0.01;
2068;42.5647;2.1908;REF;REF;0.01;
2069;42.5648;2.288;REF;REF;0.01;
2070;42.5648;2.3852;REF;REF;0.01;
2071;42.5647;2.4823;REF;REF;0.01;
2072;42.5645;2.5795;REF;REF;0.02;
2073;42.5642;2.6767;REF;REF;0.02;
2074;42.5639;2.7739;REF;REF;0.02;
2075;42.5634;2.8711;REF;REF;0.02;
2076;42.5629;2.9682;REF;REF;0.03;
2135;42.3746;8.6879;REF;REF;0.02;
2136;42.3688;8.7844;REF;REF;0.03;
2137;42.3629;8.8809;REF;REF;0.02;
2138;42.3568;8.9774;REF;REF;0.03;
2139;42.3507;9.0739;REF;REF;0.03;
2140;42.3446;9.1704;REF;REF;0.01;
2141;42.3383;9.2668;REF;REF;0.01;
2142;42.3319;9.3632;REF;REF;0.01;
2143;42.3254;9.4596;REF;REF;0.01;
2203;42.6326;1.4123;REF;REF;-0.01;
2204;42.6334;1.5096;REF;REF;0.01;
2205;42.6341;1.6069;REF;REF;-0.01;
2206;42.6347;1.7042;REF;REF;-0.01;
2207;42.6353;1.8014;REF;REF;-0.01;
2208;42.6357;1.8987;REF;REF;-0.01;
2209;42.6361;1.996;REF;REF;-0.01;
2210;42.6363;2.0933;REF;REF;0.01;
2211;42.6365;2.1906;REF;REF;0;
2212;42.6366;2.2879;REF;REF;0.01;
2213;42.6366;2.3852;REF;REF;0.01;
2214;42.6365;2.4825;REF;REF;0.02;
2215;42.6363;2.5798;REF;REF;0.02;
2216;42.6361;2.6771;REF;REF;0.02;
2217;42.6357;2.7744;REF;REF;0.03;
2218;42.6353;2.8717;REF;REF;0.03;
2219;42.6347;2.969;REF;REF;0.02;
2278;42.4462;8.6957;REF;REF;0.02;
2279;42.4404;8.7924;REF;REF;0.02;
2280;42.4344;8.889;REF;REF;0.02;
2281;42.4284;8.9856;REF;REF;0.03;
2282;42.4223;9.0822;REF;REF;0.03;
2283;42.4161;9.1788;REF;REF;0.01;
2284;42.4098;9.2753;REF;REF;0.01;
2285;42.4034;9.3719;REF;REF;0.01;
2286;42.397;9.4684;REF;REF;0.01;
2336;42.6915;0.4373;REF;REF;0.03;
2337;42.6932;0.5346;REF;REF;0.01;
2338;42.6948;0.632;REF;REF;0.01;
2346;42.7044;1.4111;REF;REF;-0.01;
2347;42.7052;1.5086;REF;REF;-0.01;
2348;42.706;1.606;REF;REF;-0.01;
2349;42.7066;1.7034;REF;REF;-0.01;
2350;42.7071;1.8008;REF;REF;-0.01;
2351;42.7076;1.8982;REF;REF;-0.01;
2352;42.7079;1.9956;REF;REF;-0.01;
2353;42.7082;2.093;REF;REF;0.01;
2354;42.7084;2.1905;REF;REF;0;
2355;42.7085;2.2879;REF;REF;0;
2356;42.7085;2.3853;REF;REF;0.03;
2357;42.7084;2.4827;REF;REF;0.03;
2358;42.7082;2.5801;REF;REF;0.03;
2359;42.7079;2.6775;REF;REF;0.03;
2360;42.7076;2.775;REF;REF;0.03;
2361;42.7071;2.8724;REF;REF;0.02;
2362;42.7066;2.9698;REF;REF;0.03;
2421;42.5178;8.7036;REF;REF;0.02;
2422;42.512;8.8003;REF;REF;0.02;
2423;42.506;8.8971;REF;REF;0.02;
2424;42.5;8.9938;REF;REF;0.03;
2425;42.4939;9.0905;REF;REF;0.03;
2426;42.4877;9.1872;REF;REF;0.01;
2427;42.4814;9.2839;REF;REF;0.01;
2428;42.475;9.3805;REF;REF;0.01;
2429;42.4685;9.4772;REF;REF;0.01;
2474;42.7535;-0.0524;REF;REF;0.03;
2475;42.7557;0.045;REF;REF;0.03;
2476;42.7577;0.1425;REF;REF;0.03;
2477;42.7597;0.24;REF;REF;0.03;
2478;42.7616;0.3374;REF;REF;0.03;
2479;42.7634;0.4349;REF;REF;0.01;
2480;42.765;0.5324;REF;REF;0.01;
2481;42.7667;0.6299;REF;REF;0.01;
2484;42.7709;0.9224;REF;REF;0.01;
2486;42.7733;1.1174;REF;REF;0.01;
2487;42.7744;1.2149;REF;REF;0.01;
2488;42.7754;1.3125;REF;REF;0.01;
2489;42.7763;1.41;REF;REF;0.01;
2490;42.7771;1.5075;REF;REF;-0.01;
2491;42.7778;1.6051;REF;REF;-0.01;
2492;42.7784;1.7026;REF;REF;-0.01;
2493;42.779;1.8001;REF;REF;-0.01;
2494;42.7794;1.8977;REF;REF;-0.01;
2495;42.7798;1.9952;REF;REF;0;
2496;42.78;2.0927;REF;REF;0;
2497;42.7802;2.1903;REF;REF;0;
2498;42.7803;2.2878;REF;REF;0;
2499;42.7803;2.3854;REF;REF;0.03;
2500;42.7802;2.4829;REF;REF;0.03;
2501;42.78;2.5804;REF;REF;0.03;
2502;42.7798;2.678;REF;REF;0.03;
2503;42.7794;2.7755;REF;REF;0.03;
2504;42.779;2.873;REF;REF;0.02;
2505;42.7784;2.9706;REF;REF;0.02;
2565;42.5835;8.8083;REF;REF;0.02;
2566;42.5776;8.9052;REF;REF;0.02;
2567;42.5716;9.002;REF;REF;0.02;
2568;42.5654;9.0989;REF;REF;0.02;
2569;42.5592;9.1957;REF;REF;0.02;
2570;42.5529;9.2925;REF;REF;0.01;
2571;42.5465;9.3892;REF;REF;0.01;
2572;42.54;9.486;REF;REF;0.01;
2612;42.8133;-0.5431;REF;REF;0;
2613;42.8159;-0.4456;REF;REF;0;
2614;42.8184;-0.3481;REF;REF;0;
2615;42.8208;-0.2505;REF;REF;0.02;
2616;42.8231;-0.1529;REF;REF;0.03;
2617;42.8254;-0.0554;REF;REF;0.03;
2618;42.8275;0.0422;REF;REF;0.01;
2619;42.8296;0.1398;REF;REF;0.01;
2620;42.8315;0.2374;REF;REF;0.01;
2621;42.8334;0.335;REF;REF;0.01;
2622;42.8352;0.4326;REF;REF;0.01;
2623;42.8369;0.5302;REF;REF;0.01;
2624;42.8385;0.6278;REF;REF;0.01;
2626;42.8414;0.823;REF;REF;0.01;
2627;42.8428;0.9206;REF;REF;0.01;
2628;42.844;1.0183;REF;REF;0.01;
2629;42.8452;1.1159;REF;REF;0.01;
2630;42.8463;1.2136;REF;REF;0.01;
2631;42.8472;1.3112;REF;REF;0.01;
2632;42.8481;1.4088;REF;REF;0.01;
2633;42.8489;1.5065;REF;REF;-0.01;
2634;42.8497;1.6041;REF;REF;-0.01;
2635;42.8503;1.7018;REF;REF;-0.01;
2636;42.8508;1.7995;REF;REF;-0.01;
2637;42.8513;1.8971;REF;REF;-0.01;
2638;42.8516;1.9948;REF;REF;0;
2639;42.8519;2.0924;REF;REF;0;
2640;42.8521;2.1901;REF;REF;0;
2641;42.8522;2.2877;REF;REF;0;
2642;42.8522;2.3854;REF;REF;-0;
2643;42.8521;2.4831;REF;REF;-0;
2644;42.8519;2.5807;REF;REF;-0;
2645;42.8516;2.6784;REF;REF;-0;
2646;42.8513;2.776;REF;REF;0.03;
2647;42.8508;2.8737;REF;REF;0.03;
2648;42.8503;2.9714;REF;REF;0.02;
2711;42.637;9.1072;REF;REF;0.02;
2712;42.6308;9.2042;REF;REF;0.01;
2713;42.6245;9.3011;REF;REF;0.01;
2714;42.6181;9.398;REF;REF;0.01;
2754;42.8824;-0.6444;REF;REF;0;
2755;42.8851;-0.5467;REF;REF;0;
2756;42.8877;-0.4491;REF;REF;0;
2757;42.8902;-0.3514;REF;REF;0;
2758;42.8926;-0.2537;REF;REF;0.03;
2759;42.895;-0.156;REF;REF;0.01;
2760;42.8972;-0.0584;REF;REF;0.01;
2761;42.8993;0.0393;REF;REF;0.01;
2762;42.9014;0.137;REF;REF;0.01;
2763;42.9034;0.2348;REF;REF;0.01;
2764;42.9052;0.3325;REF;REF;0.01;
2765;42.907;0.4302;REF;REF;0.01;
2766;42.9087;0.5279;REF;REF;0.01;
2767;42.9103;0.6257;REF;REF;0;
2768;42.9118;0.7234;REF;REF;0.01;
2769;42.9133;0.8211;REF;REF;0.01;
2770;42.9146;0.9189;REF;REF;0.01;
2771;42.9159;1.0166;REF;REF;0.01;
2772;42.917;1.1144;REF;REF;0.01;
2773;42.9181;1.2122;REF;REF;0.01;
2774;42.9191;1.3099;REF;REF;0.01;
2775;42.92;1.4077;REF;REF;0.01;
2776;42.9208;1.5055;REF;REF;0.01;
2777;42.9215;1.6032;REF;REF;0.01;
2778;42.9221;1.701;REF;REF;0.01;
2779;42.9227;1.7988;REF;REF;-0.01;
2780;42.9231;1.8966;REF;REF;-0.01;
2781;42.9235;1.9943;REF;REF;0;
2782;42.9237;2.0921;REF;REF;0;
2783;42.9239;2.1899;REF;REF;0;
2784;42.924;2.2877;REF;REF;0;
2785;42.924;2.3855;REF;REF;0;
2786;42.9239;2.4833;REF;REF;-0;
2787;42.9237;2.581;REF;REF;-0;
2788;42.9235;2.6788;REF;REF;-0;
2789;42.9231;2.7766;REF;REF;0.01;
2790;42.9227;2.8744;REF;REF;0.01;
2791;42.9221;2.9722;REF;REF;0.01;
2854;42.7086;9.1156;REF;REF;0.02;
2855;42.7023;9.2127;REF;REF;0.01;
2856;42.696;9.3097;REF;REF;0.01;
2857;42.6896;9.4067;REF;REF;0.01;
2895;42.9486;-0.8436;REF;REF;0.01;
2896;42.9515;-0.7458;REF;REF;0.01;
2897;42.9543;-0.6481;REF;REF;0;
2898;42.9569;-0.5503;REF;REF;0;
2899;42.9595;-0.4525;REF;REF;0;
2900;42.962;-0.3547;REF;REF;0;
2901;42.9645;-0.2569;REF;REF;0.01;
2902;42.9668;-0.1591;REF;REF;0.01;
2903;42.969;-0.0613;REF;REF;0.01;
2904;42.9712;0.0365;REF;REF;0.01;
2905;42.9732;0.1343;REF;REF;0.01;
2906;42.9752;0.2321;REF;REF;0.01;
2907;42.9771;0.33;REF;REF;-0;
2908;42.9789;0.4278;REF;REF;0.01;
2909;42.9806;0.5257;REF;REF;0.01;
2910;42.9822;0.6235;REF;REF;0.01;
2911;42.9837;0.7214;REF;REF;0;
2912;42.9851;0.8192;REF;REF;0.01;
2913;42.9865;0.9171;REF;REF;0.01;
2914;42.9877;1.015;REF;REF;0;
2915;42.9889;1.1129;REF;REF;0;
2916;42.99;1.2108;REF;REF;0;
2917;42.9909;1.3086;REF;REF;0;
2918;42.9918;1.4065;REF;REF;0;
2919;42.9927;1.5044;REF;REF;0.01;
2920;42.9934;1.6023;REF;REF;0.01;
2921;42.994;1.7002;REF;REF;0.01;
2922;42.9945;1.7981;REF;REF;-0.01;
2923;42.995;1.896;REF;REF;-0.01;
2924;42.9953;1.9939;REF;REF;0;
2925;42.9956;2.0918;REF;REF;0;
2926;42.9958;2.1897;REF;REF;0;
2927;42.9959;2.2876;REF;REF;0;
2928;42.9959;2.3855;REF;REF;0;
2929;42.9958;2.4834;REF;REF;-0;
2930;42.9956;2.5813;REF;REF;-0;
2931;42.9953;2.6792;REF;REF;-0;
2932;42.995;2.7771;REF;REF;0.01;
2933;42.9945;2.875;REF;REF;0.01;
2934;42.994;2.9729;REF;REF;0.01;
2999;42.7676;9.3183;REF;REF;0.01;
3000;42.7612;9.4155;REF;REF;0.01;
3033;43.0047;-1.3367;REF;REF;0.01;
3036;43.0144;-1.0433;REF;REF;0.01;
3037;43.0175;-0.9454;REF;REF;0.01;
3038;43.0204;-0.8475;REF;REF;0.01;
3039;43.0233;-0.7497;REF;REF;0.01;
3040;43.0261;-0.6518;REF;REF;0;
3041;43.0288;-0.5539;REF;REF;0;
3042;43.0313;-0.456;REF;REF;0;
3043;43.0339;-0.3581;REF;REF;0;
3044;43.0363;-0.2602;REF;REF;0.01;
3045;43.0386;-0.1623;REF;REF;0.01;
3046;43.0408;-0.0643;REF;REF;-0;
3047;43.043;0.0336;REF;REF;-0;
3048;43.0451;0.1316;REF;REF;-0;
3049;43.047;0.2295;REF;REF;-0;
3050;43.0489;0.3275;REF;REF;-0;
3051;43.0507;0.4254;REF;REF;0.01;
3052;43.0524;0.5234;REF;REF;0.01;
3053;43.054;0.6214;REF;REF;0;
3054;43.0555;0.7194;REF;REF;0;
3055;43.057;0.8174;REF;REF;0;
3056;43.0583;0.9153;REF;REF;0;
3057;43.0596;1.0133;REF;REF;0;
3058;43.0607;1.1113;REF;REF;0;
3059;43.0618;1.2093;REF;REF;0;
3060;43.0628;1.3074;REF;REF;0;
3061;43.0637;1.4054;REF;REF;0;
3062;43.0645;1.5034;REF;REF;0.01;
3063;43.0652;1.6014;REF;REF;0.01;
3064;43.0659;1.6994;REF;REF;0.01;
3065;43.0664;1.7974;REF;REF;-0.01;
3066;43.0668;1.8955;REF;REF;-0.01;
3067;43.0672;1.9935;REF;REF;-0;
3068;43.0675;2.0915;REF;REF;-0;
3069;43.0677;2.1895;REF;REF;-0;
3070;43.0677;2.2876;REF;REF;-0;
3071;43.0677;2.3856;REF;REF;-0;
3072;43.0677;2.4836;REF;REF;0.03;
3073;43.0675;2.5816;REF;REF;0.03;
3074;43.0672;2.6797;REF;REF;0.03;
3075;43.0669;2.7777;REF;REF;0.01;
3076;43.0664;2.8757;REF;REF;0.01;
3077;43.0659;2.9737;REF;REF;0.01;
3078;43.0652;3.0718;REF;REF;0.01;
3142;42.8392;9.327;REF;REF;0.01;
3143;42.8327;9.4242;REF;REF;0.01;
3175;43.0731;-1.4392;REF;REF;0.01;
3176;43.0765;-1.3413;REF;REF;0.01;
3177;43.0799;-1.2434;REF;REF;0.01;
3178;43.0831;-1.1454;REF;REF;0.01;
3179;43.0862;-1.0475;REF;REF;0.01;
3180;43.0893;-0.9495;REF;REF;0.01;
3181;43.0922;-0.8515;REF;REF;0.01;
3182;43.0951;-0.7535;REF;REF;0.01;
3183;43.0979;-0.6555;REF;REF;0.01;
3184;43.1006;-0.5575;REF;REF;0;
3185;43.1032;-0.4595;REF;REF;0.01;
3186;43.1057;-0.3615;REF;REF;0.01;
3187;43.1081;-0.2634;REF;REF;0.01;
3188;43.1104;-0.1654;REF;REF;0.01;
3189;43.1127;-0.0673;REF;REF;-0;
3190;43.1148;0.0307;REF;REF;-0;
3191;43.1169;0.1288;REF;REF;-0;
3192;43.1189;0.2269;REF;REF;-0;
3193;43.1208;0.325;REF;REF;-0;
3194;43.1226;0.4231;REF;REF;0;
3195;43.1243;0.5211;REF;REF;-0;
3196;43.1259;0.6192;REF;REF;0;
3197;43.1274;0.7173;REF;REF;0;
3198;43.1288;0.8155;REF;REF;0;
3199;43.1302;0.9136;REF;REF;0;
3200;43.1314;1.0117;REF;REF;0;
3201;43.1326;1.1098;REF;REF;0;
3202;43.1337;1.2079;REF;REF;0;
3203;43.1347;1.3061;REF;REF;0.01;
